id,#N_Pisos,N_VanosX,N_VanosY,H_Pisos,L_VanoX,L_VanoY,H_VigaX,B_VigaX,H_VigaY,B_VigaY,H_Colum,B_Colum,T
0,3.0,3.0,3.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.3,0.3,0.37949076027495016
1,3.0,3.0,4.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.36441757506685857
2,3.0,3.0,5.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.35023428963655323
3,3.0,3.0,6.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.35405893551544754
4,3.0,3.0,8.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.35909514130423087
5,3.0,3.0,10.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.36226356933930226
6,3.0,4.0,4.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.346430529244606
7,3.0,4.0,5.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.35191149401615623
8,3.0,4.0,6.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.35577480649808696
9,3.0,4.0,8.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.36086159417747027
10,3.0,4.0,10.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.3640616571055661
11,3.0,5.0,5.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.3529798914918073
12,3.0,5.0,6.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.35686750589018096
13,3.0,5.0,8.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.361986085102055
14,3.0,5.0,10.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.3652060315956732
15,3.0,6.0,6.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.35762493733362444
16,3.0,6.0,8.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.3627653620420688
17,3.0,6.0,10.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.3659989717676906
18,3.0,8.0,8.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.3637751145880144
19,3.0,8.0,10.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.3670262895956917
20,3.0,10.0,10.0,2.5,3.0,3.0,0.3,0.25,0.3,0.25,0.325,0.325,0.3676630849468937
21,3.0,3.0,3.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.3503123425610651
22,3.0,3.0,4.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.35938269824830665
23,3.0,3.0,5.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.3653045731233196
24,3.0,3.0,6.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.36947640711567287
25,3.0,3.0,8.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.3481072577602493
26,3.0,3.0,10.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.35123619704777176
27,3.0,4.0,4.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.3603556510150815
28,3.0,4.0,5.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.36632185040608584
29,3.0,4.0,6.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.370524636780446
30,3.0,4.0,8.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.3488519328056643
31,3.0,4.0,10.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.3520046250911246
32,3.0,5.0,5.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.3669846468010082
33,3.0,5.0,6.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.3712070098995446
34,3.0,5.0,8.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.3493473704487164
35,3.0,5.0,10.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.35251511192506046
36,3.0,6.0,6.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.375,0.375,0.3716865461572641
37,3.0,6.0,8.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.34970018322041224
38,3.0,6.0,10.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.3528783188084058
39,3.0,8.0,8.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.3501686788828958
40,3.0,8.0,10.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.3533602409807668
41,3.0,10.0,10.0,2.5,3.0,4.0,0.3,0.25,0.4,0.25,0.425,0.425,0.35366530148886854
42,3.0,3.0,3.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.425,0.425,0.36255119494289767
43,3.0,3.0,4.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.425,0.425,0.37221847200014097
44,3.0,3.0,5.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.425,0.425,0.37852624583595684
45,3.0,3.0,6.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.475,0.475,0.3586666452983807
46,3.0,3.0,8.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.475,0.475,0.36402538968596915
47,3.0,3.0,10.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.5,0.5,0.3460343418475588
48,3.0,4.0,4.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.425,0.425,0.3727755918332518
49,3.0,4.0,5.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.425,0.425,0.37912007019737404
50,3.0,4.0,6.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.475,0.475,0.35919029934123464
51,3.0,4.0,8.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.475,0.475,0.3645835476237707
52,3.0,4.0,10.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.5,0.5,0.3466575876683883
53,3.0,5.0,5.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.425,0.425,0.37952513437575014
54,3.0,5.0,6.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.475,0.475,0.35955189634421375
55,3.0,5.0,8.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.475,0.475,0.3649671495883948
56,3.0,5.0,10.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.5,0.5,0.347079793547072
57,3.0,6.0,6.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.475,0.475,0.3598151144207073
58,3.0,6.0,8.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.475,0.475,0.36524563128190074
59,3.0,6.0,10.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.5,0.5,0.3473838516227437
60,3.0,8.0,8.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.475,0.475,0.3656216792427361
61,3.0,8.0,10.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.5,0.5,0.3477917339433864
62,3.0,10.0,10.0,2.5,3.0,5.0,0.3,0.25,0.5,0.25,0.5,0.5,0.3480524293413509
63,3.0,3.0,3.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.3586322399959041
64,3.0,3.0,4.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.36827747348161693
65,3.0,3.0,5.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.3745697302418591
66,3.0,3.0,6.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.37900027092868355
67,3.0,3.0,8.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.55,0.55,0.3628383003468409
68,3.0,3.0,10.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.6,0.6,0.34566912294620056
69,3.0,4.0,4.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.36836610594415947
70,3.0,4.0,5.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.3746863344360476
71,3.0,4.0,6.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.3791363071562724
72,3.0,4.0,8.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.55,0.55,0.3632157948909204
73,3.0,4.0,10.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.6,0.6,0.3463379118992673
74,3.0,5.0,5.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.374795963192083
75,3.0,5.0,6.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.37925851052095555
76,3.0,5.0,8.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.55,0.55,0.363484471116521
77,3.0,5.0,10.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.6,0.6,0.34678422258634334
78,3.0,6.0,6.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.5,0.5,0.3793593130760645
79,3.0,6.0,8.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.55,0.55,0.3636836015441528
80,3.0,6.0,10.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.6,0.6,0.34710294591469115
81,3.0,8.0,8.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.55,0.55,0.3639574119583181
82,3.0,8.0,10.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.6,0.6,0.34752754595035457
83,3.0,10.0,10.0,2.5,3.0,6.0,0.3,0.25,0.6,0.3,0.6,0.6,0.34779740431325806
84,3.0,3.0,3.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.355232436713764
85,3.0,3.0,4.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.36485555451518403
86,3.0,3.0,5.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.3711324205199993
87,3.0,3.0,6.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.37555169274456107
88,3.0,3.0,8.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.3593380363254212
89,3.0,3.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.3627239590111395
90,3.0,4.0,4.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.36498627639048903
91,3.0,4.0,5.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.37129038390278807
92,3.0,4.0,6.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.37572858542650445
93,3.0,4.0,8.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.35992243698298026
94,3.0,4.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.36332831220092593
95,3.0,5.0,5.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.37141839810800986
96,3.0,5.0,6.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.37586884033651846
97,3.0,5.0,8.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.36031374847698
98,3.0,5.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.3637324113885728
99,3.0,6.0,6.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.3759787950066731
100,3.0,6.0,8.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.36059384271584904
101,3.0,6.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.36402140477373207
102,3.0,8.0,8.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.3609678201841052
103,3.0,8.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.36440695966467174
104,3.0,10.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.3646523459079277
105,3.0,3.0,3.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.35031234256109617
106,3.0,3.0,4.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.35121647340881856
107,3.0,3.0,5.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.3518077198675217
108,3.0,3.0,6.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.3522243926520099
109,3.0,3.0,8.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.35277259257533194
110,3.0,3.0,10.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.35311706403604504
111,3.0,4.0,4.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.3603556510154077
112,3.0,4.0,5.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36099041572967683
113,3.0,4.0,6.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.3614371075663985
114,3.0,4.0,8.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36202403804375577
115,3.0,4.0,10.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36239242600749483
116,3.0,5.0,5.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.366984646800848
117,3.0,5.0,6.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36745067681832083
118,3.0,5.0,8.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.368062559659004
119,3.0,5.0,10.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36844635724997343
