id,PGA,PGV,PGD,NOMBRE_SIS,NOMBRE_SENSOR,N_SIS,DIRECCION,PATH_DIR_ORG,PATH_DIR_PROCES1,DT,N_POINTS_PROCES1,CORTE1,CORTE2,PATH_DIR_PROCES2,DT_PROCES2,N_POINTS_PROCES2
0,-41.61,1.154,0.188,Chinohills,CE12102P,1,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE12102P/CE12102.V2,Registros_Sismicos_Proces1/Chinohills/1_360.T1,0.01,8200,2444,7421,Registros_Sismicos_Proces2/Chinohills/1_360.T1,0.02,2489
1,48.12600000000001,-1.219,0.245,Chinohills,CE12102P,1,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE12102P/CE12102.V2,Registros_Sismicos_Proces1/Chinohills/1_90.T1,0.01,8200,2444,7421,Registros_Sismicos_Proces2/Chinohills/1_90.T1,0.02,2489
2,88.443,10.025,-1.406,Chinohills,CE13066P,2,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13066P/CE13066.V2,Registros_Sismicos_Proces1/Chinohills/2_360.T1,0.01,8600,2477,7315,Registros_Sismicos_Proces2/Chinohills/2_360.T1,0.02,2419
3,103.638,10.051,-1.89,Chinohills,CE13066P,2,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13066P/CE13066.V2,Registros_Sismicos_Proces1/Chinohills/2_90.T1,0.01,8600,2477,7315,Registros_Sismicos_Proces2/Chinohills/2_90.T1,0.02,2419
4,-95.281,7.0120000000000005,1.133,Chinohills,CE13067P,3,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13067P/CE13067.V2,Registros_Sismicos_Proces1/Chinohills/3_360.T1,0.005,15000,5119,11205,Registros_Sismicos_Proces2/Chinohills/3_360.T1,0.02,1522
5,-54.753,4.9,0.615,Chinohills,CE13067P,3,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13067P/CE13067.V2,Registros_Sismicos_Proces1/Chinohills/3_90.T1,0.005,15000,5119,11205,Registros_Sismicos_Proces2/Chinohills/3_90.T1,0.02,1522
6,-264.847,17.945,1.6669999999999998,Chinohills,CE13068P,4,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13068P/CE13068.V2,Registros_Sismicos_Proces1/Chinohills/4_360.T1,0.005,14400,5082,8520,Registros_Sismicos_Proces2/Chinohills/4_360.T1,0.02,860
7,136.47899999999998,9.391,1.13,Chinohills,CE13068P,4,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13068P/CE13068.V2,Registros_Sismicos_Proces1/Chinohills/4_90.T1,0.005,14400,5082,8520,Registros_Sismicos_Proces2/Chinohills/4_90.T1,0.02,860
8,-94.017,-5.1080000000000005,-0.942,Chinohills,CE13069P,5,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13069P/CE13069.V2,Registros_Sismicos_Proces1/Chinohills/5_360.T1,0.005,15200,5061,12382,Registros_Sismicos_Proces2/Chinohills/5_360.T1,0.02,1831
9,56.229,-4.064,-0.821,Chinohills,CE13069P,5,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13069P/CE13069.V2,Registros_Sismicos_Proces1/Chinohills/5_90.T1,0.005,15200,5061,12382,Registros_Sismicos_Proces2/Chinohills/5_90.T1,0.02,1831
10,90.178,2.669,0.217,Chinohills,CE13079P,6,56,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13079P/CE13079.V2,Registros_Sismicos_Proces1/Chinohills/6_56.T1,0.005,15200,5087,11001,Registros_Sismicos_Proces2/Chinohills/6_56.T1,0.02,1479
11,110.509,3.597,-0.242,Chinohills,CE13079P,6,146,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13079P/CE13079.V2,Registros_Sismicos_Proces1/Chinohills/6_146.T1,0.005,15200,5087,11001,Registros_Sismicos_Proces2/Chinohills/6_146.T1,0.02,1479
12,85.70200000000001,-2.315,0.11,Chinohills,CE13096P,7,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13096P/CE13096.V2,Registros_Sismicos_Proces1/Chinohills/7_360.T1,0.005,12600,3937,9421,Registros_Sismicos_Proces2/Chinohills/7_360.T1,0.02,1371
13,-61.515,1.966,0.09,Chinohills,CE13096P,7,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13096P/CE13096.V2,Registros_Sismicos_Proces1/Chinohills/7_90.T1,0.005,12600,3937,9421,Registros_Sismicos_Proces2/Chinohills/7_90.T1,0.02,1371
14,-127.161,5.718999999999999,0.411,Chinohills,CE13098P,8,338,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13098P/CE13098.V2,Registros_Sismicos_Proces1/Chinohills/8_338.T1,0.005,13800,5118,10992,Registros_Sismicos_Proces2/Chinohills/8_338.T1,0.02,1469
15,-58.879,2.25,0.158,Chinohills,CE13098P,8,68,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13098P/CE13098.V2,Registros_Sismicos_Proces1/Chinohills/8_68.T1,0.005,13800,5118,10992,Registros_Sismicos_Proces2/Chinohills/8_68.T1,0.02,1469
16,-153.64,10.1,1.095,Chinohills,CE13099P,9,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13099P/CE13099.V2,Registros_Sismicos_Proces1/Chinohills/9_360.T1,0.005,16200,5044,11536,Registros_Sismicos_Proces2/Chinohills/9_360.T1,0.02,1623
17,66.69800000000001,4.323,0.431,Chinohills,CE13099P,9,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13099P/CE13099.V2,Registros_Sismicos_Proces1/Chinohills/9_90.T1,0.005,16200,5044,11536,Registros_Sismicos_Proces2/Chinohills/9_90.T1,0.02,1623
18,91.984,-7.355,1.411,Chinohills,CE13100P,10,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13100P/CE13100.V2,Registros_Sismicos_Proces1/Chinohills/10_360.T1,0.005,14800,5016,10819,Registros_Sismicos_Proces2/Chinohills/10_360.T1,0.02,1451
19,-71.855,-4.726,0.8290000000000001,Chinohills,CE13100P,10,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13100P/CE13100.V2,Registros_Sismicos_Proces1/Chinohills/10_90.T1,0.005,14800,5016,10819,Registros_Sismicos_Proces2/Chinohills/10_90.T1,0.02,1451
20,79.085,-6.566,-1.125,Chinohills,CE13160P,11,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13160P/CE13160.V2,Registros_Sismicos_Proces1/Chinohills/11_90.T1,0.005,14000,4275,12568,Registros_Sismicos_Proces2/Chinohills/11_90.T1,0.02,2074
21,-50.558,-3.3080000000000003,0.302,Chinohills,CE13160P,11,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13160P/CE13160.V2,Registros_Sismicos_Proces1/Chinohills/11_360.T1,0.005,14000,4275,12568,Registros_Sismicos_Proces2/Chinohills/11_360.T1,0.02,2074
22,95.399,8.491,-1.528,Chinohills,CE13162P,12,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13162P/CE13162.V2,Registros_Sismicos_Proces1/Chinohills/12_360.T1,0.01,8300,2486,5951,Registros_Sismicos_Proces2/Chinohills/12_360.T1,0.02,1733
23,-121.89,10.099,1.6230000000000002,Chinohills,CE13162P,12,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13162P/CE13162.V2,Registros_Sismicos_Proces1/Chinohills/12_90.T1,0.01,8300,2486,5951,Registros_Sismicos_Proces2/Chinohills/12_90.T1,0.02,1733
24,115.133,-7.789,-1.429,Chinohills,CE13174P,13,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13174P/CE13174.V2,Registros_Sismicos_Proces1/Chinohills/13_360.T1,0.01,8200,2453,6197,Registros_Sismicos_Proces2/Chinohills/13_360.T1,0.02,1872
25,-98.326,7.147,1.134,Chinohills,CE13174P,13,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13174P/CE13174.V2,Registros_Sismicos_Proces1/Chinohills/13_90.T1,0.01,8200,2453,6197,Registros_Sismicos_Proces2/Chinohills/13_90.T1,0.02,1872
26,41.745,-3.155,-0.531,Chinohills,CE13197P,14,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13197P/CE13197.V2,Registros_Sismicos_Proces1/Chinohills/14_360.T1,0.005,14000,4356,12804,Registros_Sismicos_Proces2/Chinohills/14_360.T1,0.02,2112
27,57.021,4.704,-1.019,Chinohills,CE13197P,14,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13197P/CE13197.V2,Registros_Sismicos_Proces1/Chinohills/14_90.T1,0.005,14000,4356,12804,Registros_Sismicos_Proces2/Chinohills/14_90.T1,0.02,2112
28,38.578,-1.602,0.23,Chinohills,CE13215P,15,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13215P/CE13215.V2,Registros_Sismicos_Proces1/Chinohills/15_360.T1,0.005,16000,4927,14497,Registros_Sismicos_Proces2/Chinohills/15_360.T1,0.02,2393
29,58.878,-4.22,-0.906,Chinohills,CE13215P,15,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13215P/CE13215.V2,Registros_Sismicos_Proces1/Chinohills/15_90.T1,0.005,16000,4927,14497,Registros_Sismicos_Proces2/Chinohills/15_90.T1,0.02,2393
30,-62.596,2.353,-0.223,Chinohills,CE13220P,16,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13220P/CE13220.V2,Registros_Sismicos_Proces1/Chinohills/16_90.T1,0.005,14800,4996,12804,Registros_Sismicos_Proces2/Chinohills/16_90.T1,0.02,1952
31,-67.236,-2.5,-0.2739999999999999,Chinohills,CE13220P,16,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13220P/CE13220.V2,Registros_Sismicos_Proces1/Chinohills/16_360.T1,0.005,14800,4996,12804,Registros_Sismicos_Proces2/Chinohills/16_360.T1,0.02,1952
32,-155.96,13.764,1.853,Chinohills,CE13849P,17,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13849P/CE13849.V2,Registros_Sismicos_Proces1/Chinohills/17_360.T1,0.01,8200,2502,5715,Registros_Sismicos_Proces2/Chinohills/17_360.T1,0.02,1606
33,92.212,-3.856,0.593,Chinohills,CE13849P,17,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13849P/CE13849.V2,Registros_Sismicos_Proces1/Chinohills/17_90.T1,0.01,8200,2502,5715,Registros_Sismicos_Proces2/Chinohills/17_90.T1,0.02,1606
34,125.708,-7.034,1.097,Chinohills,CE13873P,18,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13873P/CE13873.V2,Registros_Sismicos_Proces1/Chinohills/18_360.T1,0.01,8300,2598,5794,Registros_Sismicos_Proces2/Chinohills/18_360.T1,0.02,1598
35,-256.067,-15.855,1.006,Chinohills,CE13873P,18,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13873P/CE13873.V2,Registros_Sismicos_Proces1/Chinohills/18_90.T1,0.01,8300,2598,5794,Registros_Sismicos_Proces2/Chinohills/18_90.T1,0.02,1598
36,-102.458,6.511,0.604,Chinohills,CE13875P,19,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13875P/CE13875.V2,Registros_Sismicos_Proces1/Chinohills/19_360.T1,0.005,14600,5155,11817,Registros_Sismicos_Proces2/Chinohills/19_360.T1,0.02,1666
37,-79.21,4.251,-0.6629999999999999,Chinohills,CE13875P,19,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13875P/CE13875.V2,Registros_Sismicos_Proces1/Chinohills/19_90.T1,0.005,14600,5155,11817,Registros_Sismicos_Proces2/Chinohills/19_90.T1,0.02,1666
38,-131.984,9.447,1.524,Chinohills,CE13878P,20,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13878P/CE13878.V2,Registros_Sismicos_Proces1/Chinohills/20_360.T1,0.01,8700,2586,6019,Registros_Sismicos_Proces2/Chinohills/20_360.T1,0.02,1717
39,179.53599999999997,21.272,-1.858,Chinohills,CE13878P,20,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13878P/CE13878.V2,Registros_Sismicos_Proces1/Chinohills/20_90.T1,0.01,8700,2586,6019,Registros_Sismicos_Proces2/Chinohills/20_90.T1,0.02,1717
40,280.586,-13.095999999999998,0.883,Chinohills,CE13879P,21,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13879P/CE13879.V2,Registros_Sismicos_Proces1/Chinohills/21_360.T1,0.01,8700,2554,5680,Registros_Sismicos_Proces2/Chinohills/21_360.T1,0.02,1563
41,233.888,23.12,-2.807,Chinohills,CE13879P,21,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13879P/CE13879.V2,Registros_Sismicos_Proces1/Chinohills/21_90.T1,0.01,8700,2554,5680,Registros_Sismicos_Proces2/Chinohills/21_90.T1,0.02,1563
42,-85.20200000000001,3.498,-0.4479999999999999,Chinohills,CE13880P,22,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13880P/CE13880.V2,Registros_Sismicos_Proces1/Chinohills/22_360.T1,0.005,16000,4908,12831,Registros_Sismicos_Proces2/Chinohills/22_360.T1,0.02,1981
43,-97.358,7.068,-0.969,Chinohills,CE13880P,22,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13880P/CE13880.V2,Registros_Sismicos_Proces1/Chinohills/22_90.T1,0.005,16000,4908,12831,Registros_Sismicos_Proces2/Chinohills/22_90.T1,0.02,1981
44,-254.514,8.637,-0.588,Chinohills,CE13881P,23,360,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13881P/CE13881.V2,Registros_Sismicos_Proces1/Chinohills/23_360.T1,0.01,9000,2550,6166,Registros_Sismicos_Proces2/Chinohills/23_360.T1,0.02,1808
45,-270.138,-8.536,-0.6729999999999999,Chinohills,CE13881P,23,90,Registros_Sismicos_Original/Chinohills/chinohills_29Jul2008_CE13881P/CE13881.V2,Registros_Sismicos_Proces1/Chinohills/23_90.T1,0.01,9000,2550,6166,Registros_Sismicos_Proces2/Chinohills/23_90.T1,0.02,1808
